D,rD1,rD2,sD,tc,hr,BarNum,BarSize,L1,Name,ts,SteelGrade,SpiralDia,SpiralNum
300,320,506,426,87,150,6,D16,350,300N,6.0,SS400,U7.1,6
350,370,556,476,87,150,6,D16,350,350N,6.0,SS400,U7.1,6
400,420,606,526,87,150,6,D16,350,400N,6.0,SS400,U7.1,6
450,470,656,576,87,150,8,D16,350,450N,6.0,SS400,U7.1,6
500,520,706,626,87,150,8,D16,350,500N,6.0,SS400,U7.1,6
600,620,812,732,87,150,8,D16,350,600N,9.0,SS400,U7.1,6
700,720,912,832,87,150,10,D16,350,700N,9.0,SS400,U7.1,6
800,820,1012,932,87,150,10,D16,350,800N,9.0,SS400,U7.1,6
900,920,1112,1032,87,150,10,D16,350,900N,9.0,SS400,U7.1,6
1000,1020,1212,1132,87,150,12,D16,350,1000N,9.0,SS400,U7.1,6
1100,1120,1348,1268,105,200,12,D16,350,1100N,9.0,SS400,U9.0,8
1200,1220,1448,1368,105,200,12,D16,350,1200N,9.0,SS400,U9.0,8
300,320,512,432,87,150,6,D16,350,300S1,9.0,SS400,U9.0,6
350,370,562,482,87,150,6,D16,350,350S1,9.0,SS400,U9.0,6
400,420,612,532,87,150,6,D16,350,400S1,9.0,SS400,U9.0,6
450,470,662,582,87,150,8,D16,350,450S1,9.0,SS400,U9.0,6
500,520,712,632,87,150,8,D16,350,500S1,9.0,SS400,U9.0,6
600,620,812,732,87,150,8,D16,350,600S1,9.0,SM490A,U9.0,6
700,720,912,832,87,150,10,D16,350,700S1,9.0,SM490A,U9.0,6
800,820,1012,932,87,150,10,D16,350,800S1,9.0,SM490A,U9.0,6
900,920,1112,1032,87,150,10,D16,350,900S1,9.0,SM490A,U9.0,6
1000,1020,1212,1132,87,150,12,D16,350,1000S1,9.0,SM490A,U9.0,6
1100,1120,1348,1268,105,200,12,D16,350,1100S1,9.0,SM490A,U12.6,8
1200,1220,1448,1368,105,200,12,D16,350,1200S1,9.0,SM490A,U12.6,8
300,320,518,438,87,150,6,D16,350,300S2,12.0,SM490A,U9.0,6
350,370,568,488,87,150,6,D16,350,350S2,12.0,SM490A,U9.0,6
400,420,618,538,87,150,6,D16,350,400S2,12.0,SM490A,U9.0,6
450,470,668,588,87,150,8,D16,350,450S2,12.0,SM490A,U9.0,6
500,520,718,638,87,150,8,D16,350,500S2,12.0,SM490A,U9.0,6
600,620,818,738,87,150,8,D16,350,600S2,12.0,SM490A,U9.0,6
700,720,918,838,87,150,10,D16,350,700S2,12.0,SM490A,U9.0,6
800,820,1018,938,87,150,10,D16,350,800S2,12.0,SM490A,U9.0,6
900,920,1118,1038,87,150,10,D16,350,900S2,12.0,SM490A,U9.0,6
1000,1020,1218,1138,87,150,12,D16,350,1000S2,12.0,SM490A,U9.0,6
1100,1120,1354,1274,105,200,12,D16,350,1100S2,12.0,SM490A,U12.6,8
1200,1220,1454,1374,105,200,12,D16,350,1200S2,12.0,SM490A,U12.6,8
