D, Nu, tB, pD1
1100,1.00,440,
1200,1.00,510,
1300,1.00,580,
1400,1.00,650,
1500,1.00,720,
1600,1.00,790,
1700,1.00,860,
1800,1.00,940,
1900,1.00,1010,
2000,1.00,1080,
2100,1.00,1150,
2200,1.00,1220,
2300,1.00,1290,
2400,1.00,1360,
2500,1.00,1430,
2600,1.00,1500,
2700,1.00,1570,
2800,1.00,1640,
2900,1.00,1710,
3000,1.00,1780,
1100,0.85,440,935
1200,0.85,510,1020
1300,0.85,580,1105
1400,0.85,650,1190
1500,0.85,720,1275
1600,0.85,790,1360
1700,0.85,860,1445
1800,0.85,940,1530
1900,0.85,1010,1615
2000,0.85,1080,1700
2100,0.85,1150,1785
2200,0.85,1220,1870
2300,0.85,1280,1955
2400,0.85,1340,2040
2500,0.85,1400,2125
2600,0.85,1460,2210
2700,0.85,1520,2295
2800,0.85,1580,2380
2900,0.85,1640,2465
3000,0.85,1700,2550
1100,0.70,440,770
1200,0.70,490,840
1300,0.70,540,910
1400,0.70,590,980
1500,0.70,640,1050
1600,0.70,690,1120
1700,0.70,740,1190
1800,0.70,790,1260
1900,0.70,840,1330
2000,0.70,890,1400
2100,0.70,940,1470
2200,0.70,990,1540
2300,0.70,1030,1610
2400,0.70,1080,1680
2500,0.70,1130,1750
2600,0.70,1180,1820
2700,0.70,1230,1890
2800,0.70,1280,1960
2900,0.70,1330,2030
3000,0.70,1380,2100
