Maker,Series,Shape,Name,Fc,PrestressType,HeadDia,HeadThickness,TipDia,TipThickness,NodeDia,PcDesignation,PcCount,Ap,Pcd,HeadAo,HeadAe,HeadIe,HeadSigmaCe,HeadMal,HeadMas,HeadMcr,HeadMu,HeadQal,HeadQas,HeadQcr,HeadNal,TipAo,TipAe,TipIe,TipSigmaCe,NodePitch,HeadOffset,ToeOffset,NodeFlatLength,Ec,Ftp,SigmaPu,Ep,FcAllowCompLong,FcAllowCompShort,FcAllowDiagLong,FcAllowDiagShort,AllowBendTensLongFactor,AllowBendTensShortFactor
三谷セキサン,BF.S105,頭部厚型節付き杭,400-3045,105.0,A2,400.0,105.0,300.0,55.0,450.0,7.1,6,240.0,240.0,97300.0,98300.0,1199580000.0,1.8,13.0,16.0,52.0,57.0,99.0,133.0,185.0,2773.0,42333.0,43293.0,340548648.9,4.087,1000.0,500.0,500.0,75.0,40000.0,1275.0,1420.0,200000.0,30.0,60.0,1.2,1.8,0.25,0.5
三谷セキサン,BF.S105,頭部厚型節付き杭,400-3045,105.0,B2,400.0,105.0,300.0,55.0,450.0,9.0,8,512.0,240.0,97300.0,99400.0,1207410000.0,3.7,27.0,33.0,64.0,116.0,127.0,165.0,221.0,2615.0,42333.0,44381.0,348382248.9,8.287,1000.0,500.0,500.0,75.0,40000.0,1275.0,1420.0,200000.0,30.0,60.0,1.2,1.8,0.25,0.5
三谷セキサン,BF.S105,頭部厚型節付き杭,400-3045,105.0,C2,400.0,105.0,300.0,55.0,450.0,10.0,8,628.0,240.0,97300.0,99800.0,1210750000.0,4.7,35.0,42.0,70.0,140.0,139.0,179.0,237.0,2527.0,42333.0,44845.0,351723048.9,10.46,1000.0,500.0,500.0,75.0,40000.0,1275.0,1420.0,200000.0,30.0,60.0,1.2,1.8,0.25,0.5
三谷セキサン,BF.S105,頭部厚型節付き杭,500-4055,105.0,A2,500.0,110.0,400.0,60.0,550.0,7.1,10,400.0,335.0,134800.0,136400.0,2788690000.0,2.0,27.0,32.0,99.0,118.0,137.0,184.0,255.0,3824.0,64088.5,65688.5,977363503.0,4.153,1000.0,500.0,500.0,75.0,40000.0,1275.0,1420.0,200000.0,30.0,60.0,1.2,1.8,0.25,0.5
三谷セキサン,BF.S105,頭部厚型節付き杭,500-4055,105.0,B2,500.0,110.0,400.0,60.0,550.0,9.0,12,768.0,335.0,134800.0,137800.0,2809340000.0,4.0,56.0,67.0,123.0,218.0,177.0,229.0,305.0,3580.0,64088.5,67160.5,998012903.0,8.207,1000.0,500.0,500.0,75.0,40000.0,1275.0,1420.0,200000.0,30.0,60.0,1.2,1.8,0.25,0.5
三谷セキサン,BF.S105,頭部厚型節付き杭,500-4055,105.0,C2,500.0,110.0,400.0,60.0,550.0,10.0,12,942.0,335.0,134800.0,138500.0,2819100000.0,5.1,71.0,85.0,136.0,263.0,194.0,249.0,328.0,3452.0,64088.5,67856.5,1007776478.0,10.409,1000.0,500.0,500.0,75.0,40000.0,1275.0,1420.0,200000.0,30.0,60.0,1.2,1.8,0.25,0.5
三谷セキサン,BF.S105,頭部厚型節付き杭,600-5065,105.0,A2,600.0,130.0,500.0,80.0,650.0,9.0,9,576.0,420.0,192000.0,194300.0,5756550000.0,2.2,53.0,64.0,177.0,205.0,204.0,271.0,373.0,5392.0,105557.5,107861.5,2462792375.7,3.963,1000.0,500.0,500.0,75.0,40000.0,1275.0,1420.0,200000.0,30.0,60.0,1.2,1.8,0.25,0.5
三谷セキサン,BF.S105,頭部厚型節付き杭,600-5065,105.0,B2,600.0,130.0,500.0,80.0,650.0,9.0,18,1152.0,420.0,192000.0,196600.0,5807350000.0,4.6,111.0,133.0,224.0,392.0,265.0,341.0,452.0,4995.0,105557.5,110165.5,2513595575.7,8.209,1000.0,500.0,500.0,75.0,40000.0,1275.0,1420.0,200000.0,30.0,60.0,1.2,1.8,0.25,0.5
三谷セキサン,BF.S105,頭部厚型節付き杭,600-5065,105.0,C2,600.0,130.0,500.0,80.0,650.0,10.0,18,1413.0,420.0,192000.0,197600.0,5830370000.0,5.8,140.0,168.0,248.0,473.0,291.0,372.0,488.0,4785.0,105557.5,111209.5,2536615775.7,10.306,1000.0,500.0,500.0,75.0,40000.0,1275.0,1420.0,200000.0,30.0,60.0,1.2,1.8,0.25,0.5
三谷セキサン,BF.S105,頭部厚型節付き杭,700-6075,105.0,A2,700.0,140.0,600.0,90.0,750.0,9.0,12,768.0,510.0,246300.0,249400.0,10358300000.0,2.4,88.0,106.0,277.0,319.0,265.0,351.0,481.0,6886.0,144199.1,147271.1,4934153321.4,4.064,1000.0,500.0,500.0,75.0,40000.0,1275.0,1420.0,200000.0,30.0,60.0,1.2,1.8,0.25,0.5
