Maker,Series,Shape,Name,Do,D,t,ThicknessType,Fc,PrestressType,PcDesignation,PcCount,Ap,PCD,Ao,Ae,Io,Ie,Ze,SigmaCeSpec,SigmaCeCalc,Nal,Mal,Mas,Mc,Mu,Qal,Qas,Qu,Ec,Ftp,SigmaPu,Ep,FcAllowCompLong,FcAllowCompShort,FcAllowDiagLong,FcAllowDiagShort,MassPerM,NodePitch,HeadOffset,ToeOffset,Note,ZeFromIe
ジャパンパイル,JP-NPH85,節杭,440-300,440.0,300.0,60.0,標準,85.0,A,7.1,6,240.0,240.0,45200.0,46200.0,346100000.0,353000000.0,2353000.0,4.0,4.0,924.0,11.0,14.0,27.0,42.0,58.0,76.0,101.0,40000,1275.0,1420.0,200000.0,24,48,1.2,1.8,0.148,1000.0,600.0,400.0,,2353333.3
ジャパンパイル,JP-NPH85,節杭,450-300,450.0,300.0,60.0,標準,85.0,A,7.1,6,240.0,240.0,45200.0,46200.0,346100000.0,353000000.0,2353000.0,4.0,4.0,924.0,11.0,14.0,27.0,42.0,58.0,76.0,101.0,40000,1275.0,1420.0,200000.0,24,48,1.2,1.8,0.15,1000.0,600.0,400.0,,2353333.3
ジャパンパイル,JP-NPH85,節杭,440-300,440.0,300.0,60.0,標準,85.0,A2,9.0,6,384.0,240.0,45200.0,46800.0,346100000.0,357100000.0,2381000.0,6.0,6.0,842.0,17.0,21.0,32.0,64.0,69.0,88.0,115.0,40000,1275.0,1420.0,200000.0,24,48,1.2,1.8,0.148,1000.0,600.0,400.0,,2380666.7
ジャパンパイル,JP-NPH85,節杭,450-300,450.0,300.0,60.0,標準,85.0,A2,9.0,6,384.0,240.0,45200.0,46800.0,346100000.0,357100000.0,2381000.0,6.0,6.0,842.0,17.0,21.0,32.0,64.0,69.0,88.0,115.0,40000,1275.0,1420.0,200000.0,24,48,1.2,1.8,0.15,1000.0,600.0,400.0,,2380666.7
ジャパンパイル,JP-NPH85,節杭,440-300,440.0,300.0,60.0,標準,85.0,B,10.0,6,471.0,240.0,45200.0,47100.0,346100000.0,359600000.0,2398000.0,8.0,7.8,763.0,23.0,28.0,37.0,75.0,77.0,98.0,127.0,40000,1275.0,1420.0,200000.0,24,48,1.2,1.8,0.148,1000.0,600.0,400.0,,2397333.3
ジャパンパイル,JP-NPH85,節杭,450-300,450.0,300.0,60.0,標準,85.0,B,10.0,6,471.0,240.0,45200.0,47100.0,346100000.0,359600000.0,2398000.0,8.0,7.8,763.0,23.0,28.0,37.0,75.0,77.0,98.0,127.0,40000,1275.0,1420.0,200000.0,24,48,1.2,1.8,0.15,1000.0,600.0,400.0,,2397333.3
ジャパンパイル,JP-NPH85,節杭,440-300,440.0,300.0,60.0,標準,85.0,C,11.2,6,600.0,240.0,45200.0,47600.0,346100000.0,363400000.0,2422000.0,10.0,9.8,676.0,30.0,36.0,42.0,91.0,86.0,108.0,138.0,40000,1275.0,1420.0,200000.0,24,48,1.2,1.8,0.148,1000.0,600.0,400.0,,2422666.7
ジャパンパイル,JP-NPH85,節杭,450-300,450.0,300.0,60.0,標準,85.0,C,11.2,6,600.0,240.0,45200.0,47600.0,346100000.0,363400000.0,2422000.0,10.0,9.8,676.0,30.0,36.0,42.0,91.0,86.0,108.0,138.0,40000,1275.0,1420.0,200000.0,24,48,1.2,1.8,0.15,1000.0,600.0,400.0,,2422666.7
ジャパンパイル,JP-NPH105,節杭,440-300,440.0,300.0,60.0,標準,105.0,A,7.1,6,240.0,240.0,45200.0,46200.0,346100000.0,353000000.0,2353000.0,4.0,4.0,1201.0,11.0,14.0,27.0,43.0,58.0,76.0,101.0,40000,1275.0,1420.0,200000.0,30,60,1.2,1.8,0.148,1000.0,600.0,400.0,,2353333.3
ジャパンパイル,JP-NPH105,節杭,450-300,450.0,300.0,60.0,標準,105.0,A,7.1,6,240.0,240.0,45200.0,46200.0,346100000.0,353000000.0,2353000.0,4.0,4.0,1201.0,11.0,14.0,27.0,43.0,58.0,76.0,101.0,40000,1275.0,1420.0,200000.0,30,60,1.2,1.8,0.15,1000.0,600.0,400.0,,2353333.3
ジャパンパイル,JP-NPH105,節杭,440-300,440.0,300.0,60.0,標準,105.0,A2,9.0,6,384.0,240.0,45200.0,46800.0,346100000.0,357100000.0,2381000.0,6.0,6.0,1123.0,17.0,21.0,32.0,64.0,69.0,88.0,115.0,40000,1275.0,1420.0,200000.0,30,60,1.2,1.8,0.148,1000.0,600.0,400.0,,2380666.7
ジャパンパイル,JP-NPH105,節杭,450-300,450.0,300.0,60.0,標準,105.0,A2,9.0,6,384.0,240.0,45200.0,46800.0,346100000.0,357100000.0,2381000.0,6.0,6.0,1123.0,17.0,21.0,32.0,64.0,69.0,88.0,115.0,40000,1275.0,1420.0,200000.0,30,60,1.2,1.8,0.15,1000.0,600.0,400.0,,2380666.7
ジャパンパイル,JP-NPH105,節杭,440-300,440.0,300.0,60.0,標準,105.0,B,10.0,6,471.0,240.0,45200.0,47100.0,346100000.0,359600000.0,2398000.0,8.0,7.8,1045.0,23.0,28.0,37.0,76.0,77.0,98.0,127.0,40000,1275.0,1420.0,200000.0,30,60,1.2,1.8,0.148,1000.0,600.0,400.0,,2397333.3
ジャパンパイル,JP-NPH105,節杭,450-300,450.0,300.0,60.0,標準,105.0,B,10.0,6,471.0,240.0,45200.0,47100.0,346100000.0,359600000.0,2398000.0,8.0,7.8,1045.0,23.0,28.0,37.0,76.0,77.0,98.0,127.0,40000,1275.0,1420.0,200000.0,30,60,1.2,1.8,0.15,1000.0,600.0,400.0,,2397333.3
ジャパンパイル,JP-NPH105,節杭,440-300,440.0,300.0,60.0,標準,105.0,C,11.2,6,600.0,240.0,45200.0,47600.0,346100000.0,363400000.0,2422000.0,10.0,9.8,961.0,30.0,36.0,42.0,92.0,86.0,108.0,138.0,40000,1275.0,1420.0,200000.0,30,60,1.2,1.8,0.148,1000.0,600.0,400.0,,2422666.7
ジャパンパイル,JP-NPH105,節杭,450-300,450.0,300.0,60.0,標準,105.0,C,11.2,6,600.0,240.0,45200.0,47600.0,346100000.0,363400000.0,2422000.0,10.0,9.8,961.0,30.0,36.0,42.0,92.0,86.0,108.0,138.0,40000,1275.0,1420.0,200000.0,30,60,1.2,1.8,0.15,1000.0,600.0,400.0,,2422666.7
ジャパンパイル,JP-NPH123,節杭,440-300,440.0,300.0,60.0,標準,123.0,A,7.1,6,240.0,240.0,45200.0,46100.0,346100000.0,352600000.0,2351000.0,4.0,4.0,1429.0,11.0,14.0,27.0,43.0,58.0,76.0,101.0,42000,1275.0,1420.0,200000.0,35,70,1.2,1.8,0.148,1000.0,600.0,400.0,,2350666.7
ジャパンパイル,JP-NPH123,節杭,450-300,450.0,300.0,60.0,標準,123.0,A,7.1,6,240.0,240.0,45200.0,46100.0,346100000.0,352600000.0,2351000.0,4.0,4.0,1429.0,11.0,14.0,27.0,43.0,58.0,76.0,101.0,42000,1275.0,1420.0,200000.0,35,70,1.2,1.8,0.15,1000.0,600.0,400.0,,2350666.7
ジャパンパイル,JP-NPH123,節杭,440-300,440.0,300.0,60.0,標準,123.0,A2,9.0,6,384.0,240.0,45200.0,46700.0,346100000.0,356500000.0,2377000.0,6.0,6.0,1354.0,17.0,21.0,32.0,66.0,69.0,88.0,115.0,42000,1275.0,1420.0,200000.0,35,70,1.2,1.8,0.148,1000.0,600.0,400.0,,2376666.7
ジャパンパイル,JP-NPH123,節杭,450-300,450.0,300.0,60.0,標準,123.0,A2,9.0,6,384.0,240.0,45200.0,46700.0,346100000.0,356500000.0,2377000.0,6.0,6.0,1354.0,17.0,21.0,32.0,66.0,69.0,88.0,115.0,42000,1275.0,1420.0,200000.0,35,70,1.2,1.8,0.15,1000.0,600.0,400.0,,2376666.7
ジャパンパイル,JP-NPH123,節杭,440-300,440.0,300.0,60.0,標準,123.0,B,10.0,6,471.0,240.0,45200.0,47000.0,346100000.0,358800000.0,2392000.0,8.0,7.8,1278.0,23.0,28.0,37.0,79.0,77.0,98.0,127.0,42000,1275.0,1420.0,200000.0,35,70,1.2,1.8,0.148,1000.0,600.0,400.0,,2392000.0
ジャパンパイル,JP-NPH123,節杭,450-300,450.0,300.0,60.0,標準,123.0,B,10.0,6,471.0,240.0,45200.0,47000.0,346100000.0,358800000.0,2392000.0,8.0,7.8,1278.0,23.0,28.0,37.0,79.0,77.0,98.0,127.0,42000,1275.0,1420.0,200000.0,35,70,1.2,1.8,0.15,1000.0,600.0,400.0,,2392000.0
ジャパンパイル,JP-NPH123,節杭,440-300,440.0,300.0,60.0,標準,123.0,C,11.2,6,600.0,240.0,45200.0,47500.0,346100000.0,362300000.0,2416000.0,10.0,9.8,1197.0,30.0,36.0,42.0,96.0,86.0,108.0,138.0,42000,1275.0,1420.0,200000.0,35,70,1.2,1.8,0.148,1000.0,600.0,400.0,,2415333.3
ジャパンパイル,JP-NPH123,節杭,450-300,450.0,300.0,60.0,標準,123.0,C,11.2,6,600.0,240.0,45200.0,47500.0,346100000.0,362300000.0,2416000.0,10.0,9.8,1197.0,30.0,36.0,42.0,96.0,86.0,108.0,138.0,42000,1275.0,1420.0,200000.0,35,70,1.2,1.8,0.15,1000.0,600.0,400.0,,2415333.3
