Maker,Series,Shape,Name,Do,D,t,ThicknessType,Fc,PrestressType,PcDesignation,PcCount,Ap,PCD,BarDesignation,BarCount,Ag,BarPCD,Ao,Ae,So,SoFromSection,Io,Ie,Ze,SigmaCe,ShearBarStdDia490,ShearBarStdPitch490,ShearBarStdDia785,ShearBarStdPitch785,ShearBarHighDia785,ShearBarHighPitch785,Msc,Mal,Mas,Mu,Qal,QasStd10,QasStd15,QasStd20,QuStd10,QuStd15,QuStd20,QasHigh10,QasHigh15,QasHigh20,QuHigh10,QuHigh15,QuHigh20,Nal,PhcAe,PhcIe,PhcSigmaCe,PhcMc,PhcMu,PhcQas,PhcQu,PhcNal,Ec,Ftp,SigmaPu,Ep,BarFtu,BarFy,Er,BarAllowLong,BarAllowLongD29Up,BarAllowShort,FcAllowCompLong,FcAllowCompShort,PrcAllowDiagLong,PhcAllowDiagLong,PhcAllowDiagShort,PhcAllowBendTensLongFactor,PhcAllowBendTensShortFactor,MassPerM,NodePitch,HeadOffset,ToeOffset,Note
ジャパンパイル,JP-NPRC105,節杭,440-300,440.0,300.0,60.0,標準,105.0,Ⅰ,10.0,6,471.0,240.0,D13,6,760.0,236.0,45200.0,50300.0,1764000.0,1764000.0,346080000.0,381540000.0,2544000.0,7.4,5.5,75.0,5.0,100.0,5.0,75.0,33.5,43.0,69.3,101.6,83.0,160.0,119.0,98.0,240.0,179.0,147.0,166.0,125.0,104.0,249.0,188.0,156.0,1137.0,47100.0,359640000.0,7.8,37.0,76.0,98.0,127.0,1046.0,40000.0,1275.0,1420.0,200000.0,490.0,345.0,205000.0,215.0,195.0,345.0,30.0,60.0,1.2,1.2,1.8,0.25,0.5,0.154,1000.0,600.0,400.0,
ジャパンパイル,JP-NPRC105,節杭,450-300,450.0,300.0,60.0,標準,105.0,Ⅰ,10.0,6,471.0,240.0,D13,6,760.0,236.0,45200.0,50300.0,1764000.0,1764000.0,346080000.0,381540000.0,2544000.0,7.4,5.5,75.0,5.0,100.0,5.0,75.0,33.5,43.0,69.3,101.6,83.0,160.0,119.0,98.0,240.0,179.0,147.0,166.0,125.0,104.0,249.0,188.0,156.0,1137.0,47100.0,359640000.0,7.8,37.0,76.0,98.0,127.0,1046.0,40000.0,1275.0,1420.0,200000.0,490.0,345.0,205000.0,215.0,195.0,345.0,30.0,60.0,1.2,1.2,1.8,0.25,0.5,0.157,1000.0,600.0,400.0,
ジャパンパイル,JP-NPRC105,節杭,440-300,440.0,300.0,60.0,標準,105.0,Ⅱ,10.0,6,471.0,240.0,D16,6,1192.0,232.0,45200.0,52000.0,1764000.0,1764000.0,346080000.0,392820000.0,2619000.0,7.2,5.5,75.0,5.0,100.0,5.0,75.0,33.9,45.4,79.2,115.0,85.0,169.0,126.0,103.0,253.0,188.0,154.0,175.0,132.0,109.0,262.0,197.0,163.0,1186.0,47100.0,359640000.0,7.8,37.0,76.0,98.0,127.0,1046.0,40000.0,1275.0,1420.0,200000.0,490.0,345.0,205000.0,215.0,195.0,345.0,30.0,60.0,1.2,1.2,1.8,0.25,0.5,0.154,1000.0,600.0,400.0,
ジャパンパイル,JP-NPRC105,節杭,450-300,450.0,300.0,60.0,標準,105.0,Ⅱ,10.0,6,471.0,240.0,D16,6,1192.0,232.0,45200.0,52000.0,1764000.0,1764000.0,346080000.0,392820000.0,2619000.0,7.2,5.5,75.0,5.0,100.0,5.0,75.0,33.9,45.4,79.2,115.0,85.0,169.0,126.0,103.0,253.0,188.0,154.0,175.0,132.0,109.0,262.0,197.0,163.0,1186.0,47100.0,359640000.0,7.8,37.0,76.0,98.0,127.0,1046.0,40000.0,1275.0,1420.0,200000.0,490.0,345.0,205000.0,215.0,195.0,345.0,30.0,60.0,1.2,1.2,1.8,0.25,0.5,0.157,1000.0,600.0,400.0,
ジャパンパイル,JP-NPRC105,節杭,440-300,440.0,300.0,65.0,標準,105.0,Ⅲ,10.0,6,471.0,240.0,D19,6,1719.0,228.0,48000.0,57000.0,1841000.0,1840583.3333333333,356610000.0,416400000.0,2776000.0,6.6,5.5,75.0,5.0,100.0,5.0,75.0,34.6,49.2,90.6,130.7,90.0,180.0,133.0,108.0,271.0,200.0,163.0,186.0,139.0,114.0,279.0,209.0,171.0,1334.0,49900.0,370170000.0,7.4,37.0,76.0,102.0,133.0,1128.0,40000.0,1275.0,1420.0,200000.0,490.0,345.0,205000.0,215.0,195.0,345.0,30.0,60.0,1.2,1.2,1.8,0.25,0.5,0.167,1000.0,600.0,400.0,
ジャパンパイル,JP-NPRC105,節杭,450-300,450.0,300.0,65.0,標準,105.0,Ⅲ,10.0,6,471.0,240.0,D19,6,1719.0,228.0,48000.0,57000.0,1841000.0,1840583.3333333333,356610000.0,416400000.0,2776000.0,6.6,5.5,75.0,5.0,100.0,5.0,75.0,34.6,49.2,90.6,130.7,90.0,180.0,133.0,108.0,271.0,200.0,163.0,186.0,139.0,114.0,279.0,209.0,171.0,1334.0,49900.0,370170000.0,7.4,37.0,76.0,102.0,133.0,1128.0,40000.0,1275.0,1420.0,200000.0,490.0,345.0,205000.0,215.0,195.0,345.0,30.0,60.0,1.2,1.2,1.8,0.25,0.5,0.17,1000.0,600.0,400.0,
ジャパンパイル,JP-NPRC105,節杭,440-300,440.0,300.0,65.0,標準,105.0,Ⅳ,10.0,6,471.0,240.0,D22,6,2323.0,225.0,48000.0,59500.0,1841000.0,1840583.3333333333,356610000.0,431010000.0,2873000.0,6.4,5.5,75.0,5.0,100.0,5.0,75.0,35.2,52.4,103.8,148.0,92.0,189.0,139.0,113.0,283.0,209.0,169.0,195.0,145.0,119.0,292.0,217.0,178.0,1404.0,49900.0,370170000.0,7.4,37.0,76.0,102.0,133.0,1128.0,40000.0,1275.0,1420.0,200000.0,490.0,345.0,205000.0,215.0,195.0,345.0,30.0,60.0,1.2,1.2,1.8,0.25,0.5,0.167,1000.0,600.0,400.0,
ジャパンパイル,JP-NPRC105,節杭,450-300,450.0,300.0,65.0,標準,105.0,Ⅳ,10.0,6,471.0,240.0,D22,6,2323.0,225.0,48000.0,59500.0,1841000.0,1840583.3333333333,356610000.0,431010000.0,2873000.0,6.4,5.5,75.0,5.0,100.0,5.0,75.0,35.2,52.4,103.8,148.0,92.0,189.0,139.0,113.0,283.0,209.0,169.0,195.0,145.0,119.0,292.0,217.0,178.0,1404.0,49900.0,370170000.0,7.4,37.0,76.0,102.0,133.0,1128.0,40000.0,1275.0,1420.0,200000.0,490.0,345.0,205000.0,215.0,195.0,345.0,30.0,60.0,1.2,1.2,1.8,0.25,0.5,0.17,1000.0,600.0,400.0,
ジャパンパイル,JP-NPRC105,節杭,500-400,500.0,400.0,65.0,標準,105.0,Ⅰ,10.0,8,628.0,335.0,D13,8,1014.0,331.0,68400.0,75100.0,3693000.0,3693083.3333333335,995770000.0,1088400000.0,5442000.0,6.7,5.5,55.0,5.0,70.0,5.0,55.0,68.3,89.3,129.6,193.3,118.0,230.0,174.0,145.0,345.0,262.0,218.0,241.0,185.0,156.0,361.0,278.0,234.0,1750.0,70900.0,1031000000.0,7.0,75.0,145.0,140.0,182.0,1631.0,40000.0,1275.0,1420.0,200000.0,490.0,345.0,205000.0,215.0,195.0,345.0,30.0,60.0,1.2,1.2,1.8,0.25,0.5,0.208,1000.0,600.0,400.0,
ジャパンパイル,JP-NPRC105,節杭,550-400,550.0,400.0,65.0,標準,105.0,Ⅰ,10.0,8,628.0,335.0,D13,8,1014.0,331.0,68400.0,75100.0,3693000.0,3693083.3333333335,995770000.0,1088400000.0,5442000.0,6.7,5.5,55.0,5.0,70.0,5.0,55.0,68.3,89.3,129.6,193.3,118.0,230.0,174.0,145.0,345.0,262.0,218.0,241.0,185.0,156.0,361.0,278.0,234.0,1750.0,70900.0,1031000000.0,7.0,75.0,145.0,140.0,182.0,1631.0,40000.0,1275.0,1420.0,200000.0,490.0,345.0,205000.0,215.0,195.0,345.0,30.0,60.0,1.2,1.2,1.8,0.25,0.5,0.228,1000.0,600.0,400.0,
ジャパンパイル,JP-NPRC105,節杭,500-400,500.0,400.0,65.0,標準,105.0,Ⅱ,10.0,8,628.0,335.0,D16,8,1589.0,327.0,68400.0,77500.0,3693000.0,3693083.3333333335,995770000.0,1118800000.0,5594000.0,6.5,5.5,55.0,5.0,70.0,5.0,55.0,69.0,94.9,147.9,219.3,120.0,243.0,183.0,151.0,364.0,274.0,227.0,253.0,193.0,162.0,380.0,290.0,243.0,1821.0,70900.0,1031000000.0,7.0,75.0,145.0,140.0,182.0,1631.0,40000.0,1275.0,1420.0,200000.0,490.0,345.0,205000.0,215.0,195.0,345.0,30.0,60.0,1.2,1.2,1.8,0.25,0.5,0.208,1000.0,600.0,400.0,
ジャパンパイル,JP-NPRC105,節杭,550-400,550.0,400.0,65.0,標準,105.0,Ⅱ,10.0,8,628.0,335.0,D16,8,1589.0,327.0,68400.0,77500.0,3693000.0,3693083.3333333335,995770000.0,1118800000.0,5594000.0,6.5,5.5,55.0,5.0,70.0,5.0,55.0,69.0,94.9,147.9,219.3,120.0,243.0,183.0,151.0,364.0,274.0,227.0,253.0,193.0,162.0,380.0,290.0,243.0,1821.0,70900.0,1031000000.0,7.0,75.0,145.0,140.0,182.0,1631.0,40000.0,1275.0,1420.0,200000.0,490.0,345.0,205000.0,215.0,195.0,345.0,30.0,60.0,1.2,1.2,1.8,0.25,0.5,0.228,1000.0,600.0,400.0,
ジャパンパイル,JP-NPRC105,節杭,500-400,500.0,400.0,70.0,標準,105.0,Ⅲ,10.0,8,628.0,335.0,D19,8,2292.0,323.0,72600.0,84500.0,3869000.0,3868666.6666666665,1032300000.0,1191100000.0,5956000.0,6.0,5.5,55.0,5.0,70.0,5.0,55.0,70.9,103.8,169.9,250.5,127.0,260.0,195.0,160.0,390.0,292.0,240.0,271.0,205.0,171.0,406.0,308.0,256.0,2028.0,75100.0,1067600000.0,6.6,75.0,145.0,145.0,189.0,1757.0,40000.0,1275.0,1420.0,200000.0,490.0,345.0,205000.0,215.0,195.0,345.0,30.0,60.0,1.2,1.2,1.8,0.25,0.5,0.227,1000.0,600.0,400.0,
