Maker,Series,Shape,Name,Do,D,Dt,Lt
ジャパンパイル,JP-NPRC105,節杭,440-300,440.0,300.0,400.0,600.0
ジャパンパイル,JP-NPRC105,節杭,440-300,440.0,300.0,450.0,600.0
ジャパンパイル,JP-NPRC105,節杭,450-300,450.0,300.0,400.0,600.0
ジャパンパイル,JP-NPRC105,節杭,450-300,450.0,300.0,450.0,600.0
ジャパンパイル,JP-NPRC105,節杭,500-400,500.0,400.0,500.0,600.0
ジャパンパイル,JP-NPRC105,節杭,550-400,550.0,400.0,500.0,600.0
ジャパンパイル,JP-NPRC105,節杭,550-400,550.0,400.0,550.0,600.0
ジャパンパイル,JP-NPRC105,節杭,600-450,600.0,450.0,600.0,600.0
ジャパンパイル,JP-NPRC105,節杭,650-500,650.0,500.0,600.0,600.0
ジャパンパイル,JP-NPRC105,節杭,700-600,700.0,600.0,700.0,600.0
ジャパンパイル,JP-NPRC105,節杭,800-600,800.0,600.0,700.0,600.0
ジャパンパイル,JP-NPRC105,節杭,800-600,800.0,600.0,800.0,600.0
ジャパンパイル,JP-NPRC105,節杭,800-700,800.0,700.0,800.0,600.0
ジャパンパイル,JP-NPRC105,節杭,900-700,900.0,700.0,800.0,600.0
ジャパンパイル,JP-NPRC105,節杭,900-700,900.0,700.0,900.0,600.0
ジャパンパイル,JP-NPRC105,節杭,900-800,900.0,800.0,900.0,600.0
ジャパンパイル,JP-NPRC105,節杭,1000-800,1000.0,800.0,900.0,600.0
ジャパンパイル,JP-NPRC105,節杭,1000-800,1000.0,800.0,1000.0,600.0
ジャパンパイル,JP-NPRC105,節杭,1000-900,1000.0,900.0,1000.0,600.0
ジャパンパイル,JP-NPRC105,節杭,1100-900,1100.0,900.0,1000.0,600.0
ジャパンパイル,JP-NPRC105,節杭,1100-900,1100.0,900.0,1100.0,600.0
ジャパンパイル,JP-NPRC105,節杭,1100-1000,1100.0,1000.0,1100.0,600.0
ジャパンパイル,JP-NPRC105,節杭,1200-1000,1200.0,1000.0,1100.0,600.0
ジャパンパイル,JP-NPRC105,節杭,1200-1000,1200.0,1000.0,1200.0,600.0
ジャパンパイル,JP-NPRC105,節杭,1200-1100,1200.0,1100.0,1200.0,600.0
