No.,標準特厚,種,typ,杭種,D,t,Fc,fc_,fbc,sigma_e,Ec,ap,dp,ftp,sigma_pu,Ep,has_reinf,nr,r_designation,ag,dr,ftr,Er,ts,fts,Es,ps_sigma_y,CatalogAo,CatalogAe,CatalogIe,CatalogMal,CatalogMas,CatalogMcr,CatalogMu,CatalogQal,CatalogQas,CatalogQcr,CatalogNal,PcDesignation,PcCount
1001,標準型,A,MS-hi105-300-標準型-A,PHC,300,60,105,60,2.00,4.0,40000,240,240,1275,1420,200000,false,0,0,0,0,0,0,0,0,0,0,45200,46200,352990000,11.0,14.0,25.0,41.0,58.0,76.0,101.0,1201.0,7.1,6
1002,標準型,B,MS-hi105-300-標準型-B,PHC,300,60,105,60,4.00,8.0,40000,512,240,1275,1420,200000,false,0,0,0,0,0,0,0,0,0,0,45200,47300,360820000,24.0,28.0,36.0,83.0,78.0,98.0,127.0,1041.0,9.0,8
1003,標準型,C,MS-hi105-300-標準型-C,PHC,300,60,105,60,5.00,10.0,40000,628,240,1275,1420,200000,false,0,0,0,0,0,0,0,0,0,0,45200,47800,364160000,30.0,36.0,41.0,98.0,86.0,108.0,139.0,955.0,10.0,8
1004,標準型,A,MS-hi105-350-標準型-A,PHC,350,60,105,60,2.00,4.0,40000,320,290,1275,1420,200000,false,0,0,0,0,0,0,0,0,0,0,54700,55900,612710000,17.0,21.0,38.0,64.0,70.0,90.0,121.0,1454.0,7.1,8
1005,標準型,B,MS-hi105-350-標準型-B,PHC,350,60,105,60,4.00,8.0,40000,576,290,1275,1420,200000,false,0,0,0,0,0,0,0,0,0,0,54700,57000,623470000,35.0,42.0,53.0,112.0,93.0,118.0,152.0,1253.0,9.0,9
1006,標準型,C,MS-hi105-350-標準型-C,PHC,350,60,105,60,5.00,10.0,40000,707,290,1275,1420,200000,false,0,0,0,0,0,0,0,0,0,0,54700,57500,628960000,44.0,53.0,61.0,135.0,103.0,129.0,166.0,1150.0,10.0,9
1007,標準型,A,MS-hi105-400-標準型-A,PHC,400,65,105,60,2.00,4.0,40000,400,335,1275,1420,200000,false,0,0,0,0,0,0,0,0,0,0,68400,70000,1018210000,25.0,30.0,56.0,92.0,87.0,113.0,151.0,1820.0,7.1,10
1008,厚型,A,MS-hi105-400-厚型-A,PHC,400,80,105,60,2.00,4.0,40000,400,335,1275,1420,200000,false,0,0,0,0,0,0,0,0,0,0,80400,82000,1116220000,27.0,33.0,61.0,92.0,104.0,135.0,180.0,2133.0,7.1,10
1009,特厚型,A,MS-hi105-400-特厚型-A,PHC,400,95,105,60,2.00,4.0,40000,448,335,1275,1420,200000,false,0,0,0,0,0,0,0,0,0,0,91000,92800,1186310000,29.0,35.0,65.0,103.0,120.0,156.0,208.0,2413.0,9.0,7
1010,標準型,B,MS-hi105-400-標準型-B,PHC,400,65,105,60,4.00,8.0,40000,768,335,1275,1420,200000,false,0,0,0,0,0,0,0,0,0,0,68400,71500,1038860000,51.0,62.0,77.0,170.0,116.0,147.0,190.0,1573.0,9.0,12
