No.,標準特厚,種,杭種,typ,D,t,Fc,fc_,fbc,sigma_e,Ec,ap,dp,ftp,sigma_pu,Ep,has_reinf,nr,r_designation,ag,dr,ftr,Er,ts,fts,Es,ps_sigma_y
373,Ⅰ,D13,CPRC-300-85-Ⅰ,PRC,300,60,85,48,0.0 ,6.7 ,40000 ,471,240,1275,1420,200000 ,true,6,D13,760,240,345,200000 ,0,0,0,2.45
374,Ⅱ,D16,CPRC-300-85-Ⅱ,PRC,300,60,85,48,0.0 ,6.5 ,40000 ,471,240,1275,1420,200000 ,true,6,D16,1192,240,345,200000 ,0,0,0,2.45
375,Ⅲ,D19,CPRC-300-85-Ⅲ,PRC,300,60,85,48,0.0 ,6.3 ,40000 ,471,240,1275,1420,200000 ,true,6,D19,1719,240,345,200000 ,0,0,0,2.45
376,Ⅳ,D22,CPRC-300-85-Ⅳ,PRC,300,60,85,48,0.0 ,6.1 ,40000 ,471,240,1275,1420,200000 ,true,6,D22,2323,240,345,200000 ,0,0,0,2.45
377,Ⅰ,D13,CPRC-300-105-Ⅰ,PRC,300,60,105,60,0.0 ,6.7 ,40000 ,471,240,1275,1420,200000 ,true,6,D13,760,240,345,200000 ,0,0,0,2.45
378,Ⅱ,D16,CPRC-300-105-Ⅱ,PRC,300,60,105,60,0.0 ,6.5 ,40000 ,471,240,1275,1420,200000 ,true,6,D16,1192,240,345,200000 ,0,0,0,2.45
379,Ⅲ,D19,CPRC-300-105-Ⅲ,PRC,300,60,105,60,0.0 ,6.3 ,40000 ,471,240,1275,1420,200000 ,true,6,D19,1719,240,345,200000 ,0,0,0,2.45
380,Ⅳ,D22,CPRC-300-105-Ⅳ,PRC,300,60,105,60,0.0 ,6.1 ,40000 ,471,240,1275,1420,200000 ,true,6,D22,2323,240,345,200000 ,0,0,0,2.45
381,Ⅰ,D13,CPRC-350-85-Ⅰ,PRC,350,60,85,48,0.0 ,6.5 ,40000 ,550,290,1275,1420,200000 ,true,7,D13,887,290,345,200000 ,0,0,0,2.45
382,Ⅱ,D16,CPRC-350-85-Ⅱ,PRC,350,60,85,48,0.0 ,6.3 ,40000 ,550,290,1275,1420,200000 ,true,7,D16,1390,290,345,200000 ,0,0,0,2.45
383,Ⅲ,D19,CPRC-350-85-Ⅲ,PRC,350,60,85,48,0.0 ,6.1 ,40000 ,550,290,1275,1420,200000 ,true,7,D19,2006,290,345,200000 ,0,0,0,2.45
384,Ⅳ,D22,CPRC-350-85-Ⅳ,PRC,350,60,85,48,0.0 ,5.9 ,40000 ,550,290,1275,1420,200000 ,true,7,D22,2710,290,345,200000 ,0,0,0,2.45
385,Ⅰ,D13,CPRC-350-105-Ⅰ,PRC,350,60,105,60,0.0 ,6.5 ,40000 ,550,290,1275,1420,200000 ,true,7,D13,887,290,345,200000 ,0,0,0,2.45
386,Ⅱ,D16,CPRC-350-105-Ⅱ,PRC,350,60,105,60,0.0 ,6.3 ,40000 ,550,290,1275,1420,200000 ,true,7,D16,1390,290,345,200000 ,0,0,0,2.45
387,Ⅲ,D19,CPRC-350-105-Ⅲ,PRC,350,60,105,60,0.0 ,6.1 ,40000 ,550,290,1275,1420,200000 ,true,7,D19,2006,290,345,200000 ,0,0,0,2.45
388,Ⅳ,D22,CPRC-350-105-Ⅳ,PRC,350,60,105,60,0.0 ,5.9 ,40000 ,550,290,1275,1420,200000 ,true,7,D22,2710,290,345,200000 ,0,0,0,2.45
389,Ⅰ,D13,CPRC-400-85-Ⅰ,PRC,400,65,85,48,0.0 ,6.1 ,40000 ,628,335,1275,1420,200000 ,true,8,D13,1014,335,345,200000 ,0,0,0,2.45
390,Ⅱ,D16,CPRC-400-85-Ⅱ,PRC,400,65,85,48,0.0 ,5.9 ,40000 ,628,335,1275,1420,200000 ,true,8,D16,1589,335,345,200000 ,0,0,0,2.45
391,Ⅲ,D19,CPRC-400-85-Ⅲ,PRC,400,65,85,48,0.0 ,5.7 ,40000 ,628,335,1275,1420,200000 ,true,8,D19,2292,335,345,200000 ,0,0,0,2.45
392,Ⅳ,D22,CPRC-400-85-Ⅳ,PRC,400,65,85,48,0.0 ,5.5 ,40000 ,628,335,1275,1420,200000 ,true,8,D22,3097,335,345,200000 ,0,0,0,2.45
393,Ⅰ,D13,CPRC-400-105-Ⅰ,PRC,400,65,105,60,0.0 ,6.1 ,40000 ,628,335,1275,1420,200000 ,true,8,D13,1014,335,345,200000 ,0,0,0,2.45
394,Ⅱ,D16,CPRC-400-105-Ⅱ,PRC,400,65,105,60,0.0 ,5.9 ,40000 ,628,335,1275,1420,200000 ,true,8,D16,1589,335,345,200000 ,0,0,0,2.45
395,Ⅲ,D19,CPRC-400-105-Ⅲ,PRC,400,65,105,60,0.0 ,5.7 ,40000 ,628,335,1275,1420,200000 ,true,8,D19,2292,335,345,200000 ,0,0,0,2.45
396,Ⅳ,D22,CPRC-400-105-Ⅳ,PRC,400,65,105,60,0.0 ,5.5 ,40000 ,628,335,1275,1420,200000 ,true,8,D22,3097,335,345,200000 ,0,0,0,2.45
397,Ⅰ,D13,CPRC-450-85-Ⅰ,PRC,450,70,85,48,0.0 ,6.2 ,40000 ,785,380,1275,1420,200000 ,true,10,D13,1267,380,345,200000 ,0,0,0,2.45
398,Ⅱ,D16,CPRC-450-85-Ⅱ,PRC,450,70,85,48,0.0 ,6.0 ,40000 ,785,380,1275,1420,200000 ,true,10,D16,1986,380,345,200000 ,0,0,0,2.45
399,Ⅲ,D19,CPRC-450-85-Ⅲ,PRC,450,70,85,48,0.0 ,5.8 ,40000 ,785,380,1275,1420,200000 ,true,10,D19,2865,380,345,200000 ,0,0,0,2.45
400,Ⅳ,D22,CPRC-450-85-Ⅳ,PRC,450,70,85,48,0.0 ,5.6 ,40000 ,785,380,1275,1420,200000 ,true,10,D22,3871,380,345,200000 ,0,0,0,2.45
401,Ⅰ,D13,CPRC-450-105-Ⅰ,PRC,450,70,105,60,0.0 ,6.2 ,40000 ,785,380,1275,1420,200000 ,true,10,D13,1267,380,345,200000 ,0,0,0,2.45
402,Ⅱ,D16,CPRC-450-105-Ⅱ,PRC,450,70,105,60,0.0 ,6.0 ,40000 ,785,380,1275,1420,200000 ,true,10,D16,1986,380,345,200000 ,0,0,0,2.45
403,Ⅲ,D19,CPRC-450-105-Ⅲ,PRC,450,70,105,60,0.0 ,5.8 ,40000 ,785,380,1275,1420,200000 ,true,10,D19,2865,380,345,200000 ,0,0,0,2.45
404,Ⅳ,D22,CPRC-450-105-Ⅳ,PRC,450,70,105,60,0.0 ,5.6 ,40000 ,785,380,1275,1420,200000 ,true,10,D22,3871,380,345,200000 ,0,0,0,2.45
405,Ⅰ,D13,CPRC-500-85-Ⅰ,PRC,500,80,85,48,0.0 ,5.9 ,40000 ,942,420,1275,1420,200000 ,true,12,D13,1520,420,345,200000 ,0,0,0,2.45
406,Ⅱ,D16,CPRC-500-85-Ⅱ,PRC,500,80,85,48,0.0 ,5.8 ,40000 ,942,420,1275,1420,200000 ,true,12,D16,2383,420,345,200000 ,0,0,0,2.45
407,Ⅲ,D19,CPRC-500-85-Ⅲ,PRC,500,80,85,48,0.0 ,5.6 ,40000 ,942,420,1275,1420,200000 ,true,12,D19,3438,420,345,200000 ,0,0,0,2.45
408,Ⅳ,D22,CPRC-500-85-Ⅳ,PRC,500,80,85,48,0.0 ,5.4 ,40000 ,942,420,1275,1420,200000 ,true,12,D22,4645,420,345,200000 ,0,0,0,2.45
409,Ⅰ,D13,CPRC-500-105-Ⅰ,PRC,500,80,105,60,0.0 ,5.9 ,40000 ,942,420,1275,1420,200000 ,true,12,D13,1520,420,345,200000 ,0,0,0,2.45
410,Ⅱ,D16,CPRC-500-105-Ⅱ,PRC,500,80,105,60,0.0 ,5.8 ,40000 ,942,420,1275,1420,200000 ,true,12,D16,2383,420,345,200000 ,0,0,0,2.45
411,Ⅲ,D19,CPRC-500-105-Ⅲ,PRC,500,80,105,60,0.0 ,5.6 ,40000 ,942,420,1275,1420,200000 ,true,12,D19,3438,420,345,200000 ,0,0,0,2.45
412,Ⅳ,D22,CPRC-500-105-Ⅳ,PRC,500,80,105,60,0.0 ,5.4 ,40000 ,942,420,1275,1420,200000 ,true,12,D22,4645,420,345,200000 ,0,0,0,2.45
413,Ⅰ,D13,CPRC-600-85-Ⅰ,PRC,600,90,85,48,0.0 ,5.8 ,40000 ,1256,510,1275,1420,200000 ,true,16,D13,2027,510,345,200000 ,0,0,0,2.45
414,Ⅱ,D16,CPRC-600-85-Ⅱ,PRC,600,90,85,48,0.0 ,5.7 ,40000 ,1256,510,1275,1420,200000 ,true,16,D16,3178,510,345,200000 ,0,0,0,2.45
415,Ⅲ,D19,CPRC-600-85-Ⅲ,PRC,600,90,85,48,0.0 ,5.5 ,40000 ,1256,510,1275,1420,200000 ,true,16,D19,4584,510,345,200000 ,0,0,0,2.45
416,Ⅳ,D22,CPRC-600-85-Ⅳ,PRC,600,90,85,48,0.0 ,5.3 ,40000 ,1256,510,1275,1420,200000 ,true,16,D22,6194,510,345,200000 ,0,0,0,2.45
417,Ⅰ,D13,CPRC-600-105-Ⅰ,PRC,600,90,105,60,0.0 ,5.8 ,40000 ,1256,510,1275,1420,200000 ,true,16,D13,2027,510,345,200000 ,0,0,0,2.45
418,Ⅱ,D16,CPRC-600-105-Ⅱ,PRC,600,90,105,60,0.0 ,5.7 ,40000 ,1256,510,1275,1420,200000 ,true,16,D16,3178,510,345,200000 ,0,0,0,2.45
419,Ⅲ,D19,CPRC-600-105-Ⅲ,PRC,600,90,105,60,0.0 ,5.5 ,40000 ,1256,510,1275,1420,200000 ,true,16,D19,4584,510,345,200000 ,0,0,0,2.45
420,Ⅳ,D22,CPRC-600-105-Ⅳ,PRC,600,90,105,60,0.0 ,5.3 ,40000 ,1256,510,1275,1420,200000 ,true,16,D22,6194,510,345,200000 ,0,0,0,2.45
421,Ⅰ,D13,CPRC-700-85-Ⅰ,PRC,700,100,85,48,0.0 ,5.7 ,40000 ,1600,600,1275,1420,200000 ,true,16,D13,2027,600,345,200000 ,0,0,0,2.45
422,Ⅰ',D19,CPRC-700-85-Ⅰ',PRC,700,100,85,48,0.0 ,5.7 ,40000 ,1600,600,1275,1420,200000 ,true,8,D19,2292,600,345,200000 ,0,0,0,2.45
423,Ⅱ,D22,CPRC-700-85-Ⅱ,PRC,700,100,85,48,0.0 ,5.6 ,40000 ,1600,600,1275,1420,200000 ,true,8,D22,3097,600,345,200000 ,0,0,0,2.45
424,Ⅱ',D16,CPRC-700-85-Ⅱ',PRC,700,100,85,48,0.0 ,5.6 ,40000 ,1600,600,1275,1420,200000 ,true,16,D16,3178,600,345,200000 ,0,0,0,2.45
425,Ⅲ,D19,CPRC-700-85-Ⅲ,PRC,700,100,85,48,0.0 ,5.5 ,40000 ,1600,600,1275,1420,200000 ,true,16,D19,4584,600,345,200000 ,0,0,0,2.45
426,Ⅳ,D22,CPRC-700-85-Ⅳ,PRC,700,100,85,48,0.0 ,5.4 ,40000 ,1600,600,1275,1420,200000 ,true,16,D22,6194,600,345,200000 ,0,0,0,2.45
427,Ⅴ,D25,CPRC-700-85-Ⅴ,PRC,700,100,85,48,0.0 ,5.2 ,40000 ,1600,600,1275,1420,200000 ,true,16,D25,8107,600,345,200000 ,0,0,0,2.45
428,Ⅵ,D29,CPRC-700-85-Ⅵ,PRC,700,100,85,48,0.0 ,5.0 ,40000 ,1600,600,1275,1420,200000 ,true,16,D29,10278,600,345,200000 ,0,0,0,2.45
429,Ⅰ,D13,CPRC-700-105-Ⅰ,PRC,700,100,105,60,0.0 ,5.7 ,40000 ,1600,600,1275,1420,200000 ,true,16,D13,2027,600,345,200000 ,0,0,0,2.45
430,Ⅰ',D19,CPRC-700-105-Ⅰ',PRC,700,100,105,60,0.0 ,5.7 ,40000 ,1600,600,1275,1420,200000 ,true,8,D19,2292,600,345,200000 ,0,0,0,2.45
