No.,標準特厚,種,typ,杭種,D,t,Fc,fc_,fbc,sigma_e,Ec,ap,dp,ftp,sigma_pu,Ep,has_reinf,nr,r_designation,ag,dr,ftr,Er,ts,fts,Es,ps_sigma_y,PcDesignation,PcCount,LengthRange,CatalogAo,CatalogAe,CatalogIe,CatalogMcr,CatalogMal,CatalogMas,CatalogMu,CatalogNal,RefQal,RefQ50Short,RefQ50Ultimate,RefQ80Short,RefQ80Ultimate,RefShearNote,Sh50,Sh80,AsNote
3001,標準型,A-D13,DAM105-300-標準型-A-D13,PRC,300,60,105,60,2.15,4.3,40000,384,241,1275,1420,200000,true,6,D13,760,236,345,200000,0,0,0,0,9.0,6,4～13,45200,49800,378310000,27.0,16.0,53.0,87.0,1280.0,66.0,156.0,234.0,,,シアスパン比a=1.0の参考値。設計値は別途計算式による,5.5@75,－@－,
3002,標準型,A-D16,DAM105-300-標準型-A-D16,PRC,300,60,105,60,2.10,4.2,40000,384,241,1275,1420,200000,true,6,D16,1192,233,345,200000,0,0,0,0,9.0,6,4～13,45200,51500,389480000,28.0,16.0,63.0,102.0,1332.0,67.0,165.0,248.0,,,シアスパン比a=1.0の参考値。設計値は別途計算式による,5.5@75,－@－,
3003,標準型,A-D13,DAM105-350-標準型-A-D13,PRC,350,60,105,60,2.15,4.3,40000,448,290,1275,1420,200000,true,7,D13,887,286,345,200000,0,0,0,0,9.0,7,4～15,54700,60000,654360000,40.0,23.0,75.0,123.0,1544.0,79.0,191.0,286.0,,,シアスパン比a=1.0の参考値。設計値は別途計算式による,5.5@60,－@－,
3004,標準型,A-D16,DAM105-350-標準型-A-D16,PRC,350,60,105,60,2.05,4.1,40000,448,290,1275,1420,200000,true,7,D16,1390,283,345,200000,0,0,0,0,9.0,7,4～15,54700,62000,673750000,41.0,24.0,89.0,144.0,1604.0,80.0,201.0,302.0,,,シアスパン比a=1.0の参考値。設計値は別途計算式による,5.5@60,－@－,
3005,標準型,A-D13,DAM105-400-標準型-A-D13,PRC,400,65,105,60,2.20,4.4,40000,448,335,1275,1420,200000,true,7,D13,887,331,345,200000,0,0,0,0,9.0,7,4～15,68400,73700,1069480000,58.0,34.0,97.0,145.0,1890.0,97.0,226.0,339.0,,,シアスパン比a=1.0の参考値。設計値は別途計算式による,5.5@55,－@－,
3006,標準型,A-D16,DAM105-400-標準型-A-D16,PRC,400,65,105,60,2.15,4.3,40000,448,335,1275,1420,200000,true,7,D16,1390,328,345,200000,0,0,0,0,9.0,7,4～15,68400,75800,1095680000,59.0,34.0,114.0,171.0,1950.0,99.0,238.0,358.0,,,シアスパン比a=1.0の参考値。設計値は別途計算式による,5.5@55,－@－,
3007,標準型,A-D19,DAM105-400-標準型-A-D19,PRC,400,65,105,60,2.05,4.1,40000,448,335,1275,1420,200000,true,7,D19,2006,325,345,200000,0,0,0,0,9.0,7,4～15,68400,78200,1126810000,60.0,35.0,134.0,201.0,2024.0,100.0,250.0,375.0,,,シアスパン比a=1.0の参考値。設計値は別途計算式による,5.5@55,－@－,
3008,厚型,A-D13,DAM105-400-厚型-A-D13,PRC,400,80,105,60,2.15,4.3,40000,448,335,1275,1420,200000,true,7,D13,887,331,345,200000,0,0,0,0,9.0,7,4～15,80400,85800,1167490000,63.0,37.0,103.0,145.0,2202.0,115.0,239.0,358.0,,,シアスパン比a=1.0の参考値。設計値は別途計算式による,5.5@55,－@－,
3009,厚型,A-D16,DAM105-400-厚型-A-D16,PRC,400,80,105,60,2.10,4.2,40000,448,335,1275,1420,200000,true,7,D16,1390,328,345,200000,0,0,0,0,9.0,7,4～15,80400,87800,1193690000,64.0,37.0,119.0,171.0,2263.0,117.0,252.0,378.0,,,シアスパン比a=1.0の参考値。設計値は別途計算式による,5.5@55,－@－,誤植: カタログ印字 As=13.39cm2 (正 7-D16=13.90cm2)
3010,厚型,A-D19,DAM105-400-厚型-A-D19,PRC,400,80,105,60,2.05,4.1,40000,448,335,1275,1420,200000,true,7,D19,2006,325,345,200000,0,0,0,0,9.0,7,4～15,80400,90200,1224820000,65.0,37.0,139.0,201.0,2336.0,118.0,265.0,397.0,,,シアスパン比a=1.0の参考値。設計値は別途計算式による,5.5@55,－@－,
