No.,標準特厚,種,typ,杭種,D,t,Fc,fc_,fbc,sigma_e,Ec,ap,dp,ftp,sigma_pu,Ep,has_reinf,nr,r_designation,ag,dr,ftr,Er,ts,fts,Es,ps_sigma_y,PipeGrade,CatalogAo,CatalogAc,CatalogAs,CatalogAe,CatalogIe,CatalogMl,CatalogMa,CatalogMu,CatalogQl,CatalogQa,CatalogWeight,Corr1Ao,Corr1Ac,Corr1As,Corr1Ae,Corr1Ie,Corr1Mu,Corr1Weight,Corr1Note
2001,標準型,,Hi-SC105-400-標準型-65-6,SC,400,65,105,60,0,0,40000,0,0,0,0,0,false,0,0,0,0,0,0,6,325,205000,0,SKK490,68400,61000,7400,99000,1590190000,173.0,259.0,438.0,464.0,698.0,0.208,67200,61000,6200,92600,1462420000,369.0,0.0,
2002,標準型,,Hi-SC105-400-標準型-65-7,SC,400,65,105,60,0,0,40000,0,0,0,0,0,false,0,0,0,0,0,0,7,325,205000,0,SKK490,68400,59800,8600,104100,1683980000,199.0,298.0,502.0,540.0,812.0,0.214,67200,59800,7400,97600,1556240000,434.0,0.0,
2003,標準型,,Hi-SC105-400-標準型-65-8,SC,400,65,105,60,0,0,40000,0,0,0,0,0,false,0,0,0,0,0,0,8,325,205000,0,SKK490,68400,58600,9900,109000,1776290000,224.0,336.0,563.0,615.0,926.0,0.221,67200,58600,8600,102600,1648580000,496.0,0.0,
2004,標準型,,Hi-SC105-400-標準型-65-9,SC,400,65,105,60,0,0,40000,0,0,0,0,0,false,0,0,0,0,0,0,9,325,205000,0,SKK490,68400,57400,11100,114000,1867130000,250.0,374.0,623.0,690.0,1039.0,0.227,67200,57400,9800,107600,1739460000,557.0,0.0,
2005,標準型,,Hi-SC105-400-標準型-65-10,SC,400,65,105,60,0,0,40000,0,0,0,0,0,false,0,0,0,0,0,0,10,325,205000,0,SKK490,68400,56200,12300,118900,1956510000,274.0,411.0,681.0,765.0,1151.0,0.234,67200,56200,11000,112500,1828880000,616.0,0.0,
2006,標準型,,Hi-SC105-400-標準型-65-11,SC,400,65,105,60,0,0,40000,0,0,0,0,0,false,0,0,0,0,0,0,11,325,205000,0,SKK490,68400,55000,13400,123900,2044440000,299.0,448.0,737.0,840.0,1263.0,0.24,67200,55000,12200,117400,1916860000,673.0,0.0,
2007,標準型,,Hi-SC105-400-標準型-65-12,SC,400,65,105,60,0,0,40000,0,0,0,0,0,false,0,0,0,0,0,0,12,325,205000,0,SKK490,68400,53800,14600,128700,2130930000,317.0,484.0,791.0,914.0,1374.0,0.246,67200,53800,13400,122300,2003400000,728.0,0.0,
2008,標準型,,Hi-SC105-400-標準型-65-13,SC,400,65,105,60,0,0,40000,0,0,0,0,0,false,0,0,0,0,0,0,13,325,205000,0,SKK490,68400,52600,15800,133600,2215990000,334.0,519.0,844.0,987.0,1485.0,0.253,67200,52600,14600,127200,2088520000,782.0,0.0,
2009,標準型,,Hi-SC105-400-標準型-65-14,SC,400,65,105,60,0,0,40000,0,0,0,0,0,false,0,0,0,0,0,0,14,325,205000,0,SKK490,68400,51400,17000,138400,2299640000,350.0,555.0,895.0,1061.0,1595.0,0.259,67200,51400,15700,132000,2172220000,834.0,0.0,
2010,標準型,,Hi-SC105-400-標準型-65-15,SC,400,65,105,60,0,0,40000,0,0,0,0,0,false,0,0,0,0,0,0,15,325,205000,0,SKK490,68400,50300,18100,143200,2381870000,367.0,589.0,946.0,1133.0,1705.0,0.265,67200,50300,16900,136800,2254530000,885.0,0.0,
