D, Nu, tD, pD1
800,1.00,420
900,1.00,490
1000,1.00,560,
1100,1.00,630,
1200,1.00,730,
1300,1.00,830,
1400,1.00,930,
1500,1.00,1030,
1600,1.00,1130,
1700,1.00,1230,
1800,1.00,1330,
1900,1.00,1430,
2000,1.00,1530,
2100,1.00,1630,
2200,1.00,1730,
2300,1.00,1830,
2400,1.00,1930,
2500,1.00,2030,
2600,1.00,2130,
2700,1.00,2230,
2800,1.00,2330,
2900,1.00,2430,
3000,1.00,2520,
800,0.85,420,680
900,0.85,490,765
1000,0.85,560,850
1100,0.85,630,935
1200,0.85,730,1020
1300,0.85,830,1105
1400,0.85,930,1190
1500,0.85,1030,1275
1600,0.85,1130,1360
1700,0.85,1230,1445
1800,0.85,1330,1530
1900,0.85,1430,1615
2000,0.85,1530,1700
2100,0.85,1630,1785
2200,0.85,1730,1870
2300,0.85,1810,1955
2400,0.85,1900,2040
2500,0.85,1980,2125
2600,0.85,2070,2210
2700,0.85,2150,2295
2800,0.85,2240,2380
2900,0.85,2320,2465
3000,0.85,2410,2550
800,0.70,420,560
900,0.70,490,630
1000,0.70,560,700
1100,0.70,630,770
1200,0.70,700,840
1300,0.70,770,910
1400,0.70,840,980
1500,0.70,910,1050
1600,0.70,980,1120
1700,0.70,1050,1190
1800,0.70,1120,1260
1900,0.70,1190,1330
2000,0.70,1260,1400
2100,0.70,1330,1470
2200,0.70,1400,1540
2300,0.70,1470,1610
2400,0.70,1540,1680
2500,0.70,1610,1750
2600,0.70,1680,1820
2700,0.70,1750,1890
2800,0.70,1820,1960
2900,0.70,1890,2030
3000,0.70,1960,2100
