No.,標準特厚,種,杭種,typ,D,t,Fc,fc_,fbc,sigma_e,Ec,ap,dp,ftp,sigma_pu,Ep,has_reinf,nr,r_designation,ag,dr,ftr,Er,ts,fts,Es,ps_sigma_y
12,標準,A,PHC-300-標準-80-A,PHC,300,60,80,44,2.0 ,4.0 ,40000 ,231,240,1275,1420,200000 ,false,0,0,0,0,0,0,0,0,0,0
13,標準,B,PHC-300-標準-85-B,PHC,300,60,85,48,4.0 ,8.0 ,40000 ,448,240,1275,1420,200000 ,false,0,0,0,0,0,0,0,0,0,0
14,標準,C,PHC-300-標準-85-C,PHC,300,60,85,48,5.0 ,10.0 ,40000 ,600,240,1275,1420,200000 ,false,0,0,0,0,0,0,0,0,0,0
15,標準,A,PHC-300-標準-105-A,PHC,300,60,105,60,2.0 ,4.0 ,40000 ,231,240,1275,1420,200000 ,false,0,0,0,0,0,0,0,0,0,0
16,標準,B,PHC-300-標準-105-B,PHC,300,60,105,60,4.0 ,8.0 ,40000 ,448,240,1275,1420,200000 ,false,0,0,0,0,0,0,0,0,0,0
17,標準,C,PHC-300-標準-105-C,PHC,300,60,105,60,5.0 ,10.0 ,40000 ,600,240,1275,1420,200000 ,false,0,0,0,0,0,0,0,0,0,0
18,標準,A,PHC-300-標準-123-A,PHC,300,60,123,70,2.0 ,4.0 ,42000 ,231,240,1275,1420,200000 ,false,0,0,0,0,0,0,0,0,0,0
19,標準,B,PHC-300-標準-123-B,PHC,300,60,123,70,4.0 ,8.0 ,42000 ,448,240,1275,1420,200000 ,false,0,0,0,0,0,0,0,0,0,0
20,標準,C,PHC-300-標準-123-C,PHC,300,60,123,70,5.0 ,10.0 ,42000 ,600,240,1275,1420,200000 ,false,0,0,0,0,0,0,0,0,0,0
21,標準,A,PHC-350-標準-80-A,PHC,350,60,80,44,2.0 ,4.0 ,40000 ,280,290,1275,1420,200000 ,false,0,0,0,0,0,0,0,0,0,0
22,標準,B,PHC-350-標準-85-B,PHC,350,60,85,48,4.0 ,8.0 ,40000 ,512,290,1275,1420,200000 ,false,0,0,0,0,0,0,0,0,0,0
23,標準,C,PHC-350-標準-85-C,PHC,350,60,85,48,5.0 ,10.0 ,40000 ,707,290,1275,1420,200000 ,false,0,0,0,0,0,0,0,0,0,0
24,標準,A,PHC-350-標準-105-A,PHC,350,60,105,60,2.0 ,4.0 ,40000 ,280,290,1275,1420,200000 ,false,0,0,0,0,0,0,0,0,0,0
25,標準,B,PHC-350-標準-105-B,PHC,350,60,105,60,4.0 ,8.0 ,40000 ,512,290,1275,1420,200000 ,false,0,0,0,0,0,0,0,0,0,0
26,標準,C,PHC-350-標準-105-C,PHC,350,60,105,60,5.0 ,10.0 ,40000 ,707,290,1275,1420,200000 ,false,0,0,0,0,0,0,0,0,0,0
27,標準,A,PHC-350-標準-123-A,PHC,350,60,123,70,2.0 ,4.0 ,42000 ,280,290,1275,1420,200000 ,false,0,0,0,0,0,0,0,0,0,0
28,標準,B,PHC-350-標準-123-B,PHC,350,60,123,70,4.0 ,8.0 ,42000 ,512,290,1275,1420,200000 ,false,0,0,0,0,0,0,0,0,0,0
29,標準,C,PHC-350-標準-123-C,PHC,350,60,123,70,5.0 ,10.0 ,42000 ,707,290,1275,1420,200000 ,false,0,0,0,0,0,0,0,0,0,0
30,標準,A,PHC-400-標準-80-A,PHC,400,60,80,44,2.0 ,4.0 ,40000 ,385,330,1275,1420,200000 ,false,0,0,0,0,0,0,0,0,0,0
31,標準,B,PHC-400-標準-85-B,PHC,400,60,85,48,4.0 ,8.0 ,40000 ,640,330,1275,1420,200000 ,false,0,0,0,0,0,0,0,0,0,0
32,標準,C,PHC-400-標準-85-C,PHC,400,60,85,48,5.0 ,10.0 ,40000 ,900,330,1275,1420,200000 ,false,0,0,0,0,0,0,0,0,0,0
33,標準,A,PHC-400-標準-105-A,PHC,400,65,105,60,2.0 ,4.0 ,40000 ,385,330,1275,1420,200000 ,false,0,0,0,0,0,0,0,0,0,0
34,特厚,A,PHC-400-特厚-105-A,PHC,400,80,105,60,1.7 ,3.4 ,40000 ,385,330,1275,1420,200000 ,false,0,0,0,0,0,0,0,0,0,0
35,標準,B,PHC-400-標準-105-B,PHC,400,65,105,60,4.0 ,8.0 ,40000 ,640,330,1275,1420,200000 ,false,0,0,0,0,0,0,0,0,0,0
36,特厚,B,PHC-400-特厚-105-B,PHC,400,80,105,60,3.4 ,6.8 ,40000 ,640,330,1275,1420,200000 ,false,0,0,0,0,0,0,0,0,0,0
37,標準,C,PHC-400-標準-105-C,PHC,400,65,105,60,5.0 ,10.0 ,40000 ,900,330,1275,1420,200000 ,false,0,0,0,0,0,0,0,0,0,0
38,特厚,C,PHC-400-特厚-105-C,PHC,400,80,105,60,4.3 ,8.5 ,40000 ,900,330,1275,1420,200000 ,false,0,0,0,0,0,0,0,0,0,0
39,標準,A,PHC-400-標準-123-A,PHC,400,65,123,70,2.0 ,4.0 ,42000 ,385,330,1275,1420,200000 ,false,0,0,0,0,0,0,0,0,0,0
40,特厚,A,PHC-400-特厚-123-A,PHC,400,80,123,70,1.7 ,3.4 ,42000 ,385,330,1275,1420,200000 ,false,0,0,0,0,0,0,0,0,0,0
41,標準,B,PHC-400-標準-123-B,PHC,400,65,123,70,4.0 ,8.0 ,42000 ,640,330,1275,1420,200000 ,false,0,0,0,0,0,0,0,0,0,0
42,特厚,B,PHC-400-特厚-123-B,PHC,400,80,123,70,3.4 ,6.8 ,42000 ,640,330,1275,1420,200000 ,false,0,0,0,0,0,0,0,0,0,0
43,標準,C,PHC-400-標準-123-C,PHC,400,65,123,70,5.0 ,10.0 ,42000 ,900,330,1275,1420,200000 ,false,0,0,0,0,0,0,0,0,0,0
44,特厚,C,PHC-400-特厚-123-C,PHC,400,80,123,70,4.3 ,8.5 ,42000 ,900,330,1275,1420,200000 ,false,0,0,0,0,0,0,0,0,0,0
45,標準,A,PHC-450-標準-80-A,PHC,450,70,80,44,2.0 ,4.0 ,40000 ,448,380,1275,1420,200000 ,false,0,0,0,0,0,0,0,0,0,0
46,標準,B,PHC-450-標準-85-B,PHC,450,70,85,48,4.0 ,8.0 ,40000 ,896,380,1275,1420,200000 ,false,0,0,0,0,0,0,0,0,0,0
47,標準,C,PHC-450-標準-85-C,PHC,450,70,85,48,5.0 ,10.0 ,40000 ,1099,380,1275,1420,200000 ,false,0,0,0,0,0,0,0,0,0,0
48,標準,A,PHC-450-標準-105-A,PHC,450,70,105,60,2.0 ,4.0 ,40000 ,448,380,1275,1420,200000 ,false,0,0,0,0,0,0,0,0,0,0
49,特厚,A,PHC-450-特厚-105-A,PHC,450,85,105,60,1.7 ,3.4 ,40000 ,448,380,1275,1420,200000 ,false,0,0,0,0,0,0,0,0,0,0
50,標準,B,PHC-450-標準-105-B,PHC,450,70,105,60,4.0 ,8.0 ,40000 ,896,380,1275,1420,200000 ,false,0,0,0,0,0,0,0,0,0,0
51,特厚,B,PHC-450-特厚-105-B,PHC,450,85,105,60,3.5 ,6.9 ,40000 ,896,380,1275,1420,200000 ,false,0,0,0,0,0,0,0,0,0,0
52,標準,C,PHC-450-標準-105-C,PHC,450,70,105,60,5.0 ,10.0 ,40000 ,1099,380,1275,1420,200000 ,false,0,0,0,0,0,0,0,0,0,0
53,特厚,C,PHC-450-特厚-105-C,PHC,450,85,105,60,4.3 ,8.6 ,40000 ,1099,380,1275,1420,200000 ,false,0,0,0,0,0,0,0,0,0,0
54,標準,A,PHC-450-標準-123-A,PHC,450,70,123,70,2.0 ,4.0 ,42000 ,448,380,1275,1420,200000 ,false,0,0,0,0,0,0,0,0,0,0
55,特厚,A,PHC-450-特厚-123-A,PHC,450,85,123,70,1.7 ,3.4 ,42000 ,448,380,1275,1420,200000 ,false,0,0,0,0,0,0,0,0,0,0
56,標準,B,PHC-450-標準-123-B,PHC,450,70,123,70,4.0 ,8.0 ,42000 ,896,380,1275,1420,200000 ,false,0,0,0,0,0,0,0,0,0,0
57,特厚,B,PHC-450-特厚-123-B,PHC,450,85,123,70,3.5 ,6.9 ,42000 ,896,380,1275,1420,200000 ,false,0,0,0,0,0,0,0,0,0,0
58,標準,C,PHC-450-標準-123-C,PHC,450,70,123,70,5.0 ,10.0 ,42000 ,1099,380,1275,1420,200000 ,false,0,0,0,0,0,0,0,0,0,0
59,特厚,C,PHC-450-特厚-123-C,PHC,450,85,123,70,4.3 ,8.6 ,42000 ,1099,380,1275,1420,200000 ,false,0,0,0,0,0,0,0,0,0,0
60,標準,A,PHC-500-標準-80-A,PHC,500,80,80,44,2.0 ,4.0 ,40000 ,512,420,1275,1420,200000 ,false,0,0,0,0,0,0,0,0,0,0
61,標準,B,PHC-500-標準-85-B,PHC,500,80,85,48,4.0 ,8.0 ,40000 ,1024,420,1275,1420,200000 ,false,0,0,0,0,0,0,0,0,0,0
62,標準,C,PHC-500-標準-85-C,PHC,500,80,85,48,5.0 ,10.0 ,40000 ,1400,420,1275,1420,200000 ,false,0,0,0,0,0,0,0,0,0,0
63,標準,A,PHC-500-標準-105-A,PHC,500,80,105,60,2.0 ,4.0 ,40000 ,512,420,1275,1420,200000 ,false,0,0,0,0,0,0,0,0,0,0
64,特厚,A,PHC-500-特厚-105-A,PHC,500,100,105,60,1.7 ,3.4 ,40000 ,512,420,1275,1420,200000 ,false,0,0,0,0,0,0,0,0,0,0
65,標準,B,PHC-500-標準-105-B,PHC,500,80,105,60,4.0 ,8.0 ,40000 ,1024,420,1275,1420,200000 ,false,0,0,0,0,0,0,0,0,0,0
66,特厚,B,PHC-500-特厚-105-B,PHC,500,100,105,60,3.3 ,6.5 ,40000 ,1024,420,1275,1420,200000 ,false,0,0,0,0,0,0,0,0,0,0
67,標準,C,PHC-500-標準-105-C,PHC,500,80,105,60,5.0 ,10.0 ,40000 ,1400,420,1275,1420,200000 ,false,0,0,0,0,0,0,0,0,0,0
68,特厚,C,PHC-500-特厚-105-C,PHC,500,100,105,60,4.1 ,8.2 ,40000 ,1400,420,1275,1420,200000 ,false,0,0,0,0,0,0,0,0,0,0
69,標準,A,PHC-500-標準-123-A,PHC,500,80,123,70,2.0 ,4.0 ,42000 ,512,420,1275,1420,200000 ,false,0,0,0,0,0,0,0,0,0,0
70,特厚,A,PHC-500-特厚-123-A,PHC,500,100,123,70,1.7 ,3.4 ,42000 ,512,420,1275,1420,200000 ,false,0,0,0,0,0,0,0,0,0,0
71,標準,B,PHC-500-標準-123-B,PHC,500,80,123,70,4.0 ,8.0 ,42000 ,1024,420,1275,1420,200000 ,false,0,0,0,0,0,0,0,0,0,0
72,特厚,B,PHC-500-特厚-123-B,PHC,500,100,123,70,3.3 ,6.5 ,42000 ,1024,420,1275,1420,200000 ,false,0,0,0,0,0,0,0,0,0,0
73,標準,C,PHC-500-標準-123-C,PHC,500,80,123,70,5.0 ,10.0 ,42000 ,1400,420,1275,1420,200000 ,false,0,0,0,0,0,0,0,0,0,0
74,特厚,C,PHC-500-特厚-123-C,PHC,500,100,123,70,4.1 ,8.2 ,42000 ,1400,420,1275,1420,200000 ,false,0,0,0,0,0,0,0,0,0,0
75,標準,A,PHC-600-標準-80-A,PHC,600,90,80,44,2.0 ,4.0 ,40000 ,693,520,1275,1420,200000 ,false,0,0,0,0,0,0,0,0,0,0
76,標準,B,PHC-600-標準-85-B,PHC,600,90,85,48,4.0 ,8.0 ,40000 ,1408,520,1275,1420,200000 ,false,0,0,0,0,0,0,0,0,0,0
77,標準,C,PHC-600-標準-85-C,PHC,600,90,85,48,5.0 ,10.0 ,40000 ,1884,520,1275,1420,200000 ,false,0,0,0,0,0,0,0,0,0,0
78,標準,A,PHC-600-標準-105-A,PHC,600,90,105,60,2.0 ,4.0 ,40000 ,693,520,1275,1420,200000 ,false,0,0,0,0,0,0,0,0,0,0
79,特厚,A,PHC-600-特厚-105-A,PHC,600,110,105,60,1.7 ,3.4 ,40000 ,693,520,1275,1420,200000 ,false,0,0,0,0,0,0,0,0,0,0
80,標準,B,PHC-600-標準-105-B,PHC,600,90,105,60,4.0 ,8.0 ,40000 ,1408,520,1275,1420,200000 ,false,0,0,0,0,0,0,0,0,0,0
81,特厚,B,PHC-600-特厚-105-B,PHC,600,110,105,60,3.4 ,6.8 ,40000 ,1408,520,1275,1420,200000 ,false,0,0,0,0,0,0,0,0,0,0
82,標準,C,PHC-600-標準-105-C,PHC,600,90,105,60,5.0 ,10.0 ,40000 ,1884,520,1275,1420,200000 ,false,0,0,0,0,0,0,0,0,0,0
83,特厚,C,PHC-600-特厚-105-C,PHC,600,110,105,60,4.3 ,8.5 ,40000 ,1884,520,1275,1420,200000 ,false,0,0,0,0,0,0,0,0,0,0
84,標準,A,PHC-600-標準-123-A,PHC,600,90,123,70,2.0 ,4.0 ,42000 ,693,520,1275,1420,200000 ,false,0,0,0,0,0,0,0,0,0,0
85,特厚,A,PHC-600-特厚-123-A,PHC,600,110,123,70,1.7 ,3.4 ,42000 ,693,520,1275,1420,200000 ,false,0,0,0,0,0,0,0,0,0,0
86,標準,B,PHC-600-標準-123-B,PHC,600,90,123,70,4.0 ,8.0 ,42000 ,1408,520,1275,1420,200000 ,false,0,0,0,0,0,0,0,0,0,0
87,特厚,B,PHC-600-特厚-123-B,PHC,600,110,123,70,3.4 ,6.8 ,42000 ,1408,520,1275,1420,200000 ,false,0,0,0,0,0,0,0,0,0,0
