No.,標準特厚,種,杭種,typ,D,t,Fc,fc_,fbc,sigma_e,Ec,ap,dp,ftp,sigma_pu,Ep,has_reinf,nr,r_designation,ag,dr,ftr,Er,ts,fts,Es,ps_sigma_y
180,標準,,SC-400-標準-80-4.5,SC,400,65,80,44,0.0 ,0,40000 ,0,0,0,0,0,false,0,0,0,0,0,0,4.5,325,200000,0
181,標準,,SC-400-標準-80-6,SC,400,65,80,44,0.0 ,0,40000 ,0,0,0,0,0,false,0,0,0,0,0,0,6,325,200000,0
182,標準,,SC-400-標準-80-9,SC,400,65,80,44,0.0 ,0,40000 ,0,0,0,0,0,false,0,0,0,0,0,0,9,325,200000,0
183,標準,,SC-400-標準-80-12,SC,400,65,80,44,0.0 ,0,40000 ,0,0,0,0,0,false,0,0,0,0,0,0,12,325,200000,0
184,標準,,SC-400-標準-105-4.5,SC,400,65,105,60,0.0 ,0,40000 ,0,0,0,0,0,false,0,0,0,0,0,0,4.5,325,200000,0
185,標準,,SC-400-標準-105-6,SC,400,65,105,60,0.0 ,0,40000 ,0,0,0,0,0,false,0,0,0,0,0,0,6,325,200000,0
186,標準,,SC-400-標準-105-9,SC,400,65,105,60,0.0 ,0,40000 ,0,0,0,0,0,false,0,0,0,0,0,0,9,325,200000,0
187,標準,,SC-400-標準-105-12,SC,400,65,105,60,0.0 ,0,40000 ,0,0,0,0,0,false,0,0,0,0,0,0,12,325,200000,0
188,特厚,,SC-400-特厚-105-4.5,SC,400,80,105,60,0.0 ,0,40000 ,0,0,0,0,0,false,0,0,0,0,0,0,4.5,325,200000,0
189,特厚,,SC-400-特厚-105-6,SC,400,80,105,60,0.0 ,0,40000 ,0,0,0,0,0,false,0,0,0,0,0,0,6,325,200000,0
190,特厚,,SC-400-特厚-105-9,SC,400,80,105,60,0.0 ,0,40000 ,0,0,0,0,0,false,0,0,0,0,0,0,9,325,200000,0
191,特厚,,SC-400-特厚-105-12,SC,400,80,105,60,0.0 ,0,40000 ,0,0,0,0,0,false,0,0,0,0,0,0,12,325,200000,0
192,標準,,SC-450-標準-80-4.5,SC,450,70,80,44,0.0 ,0,40000 ,0,0,0,0,0,false,0,0,0,0,0,0,4.5,325,200000,0
193,標準,,SC-450-標準-80-6,SC,450,70,80,44,0.0 ,0,40000 ,0,0,0,0,0,false,0,0,0,0,0,0,6,325,200000,0
194,標準,,SC-450-標準-80-9,SC,450,70,80,44,0.0 ,0,40000 ,0,0,0,0,0,false,0,0,0,0,0,0,9,325,200000,0
195,標準,,SC-450-標準-80-12,SC,450,70,80,44,0.0 ,0,40000 ,0,0,0,0,0,false,0,0,0,0,0,0,12,325,200000,0
196,標準,,SC-450-標準-105-4.5,SC,450,70,105,60,0.0 ,0,40000 ,0,0,0,0,0,false,0,0,0,0,0,0,4.5,325,200000,0
197,標準,,SC-450-標準-105-6,SC,450,70,105,60,0.0 ,0,40000 ,0,0,0,0,0,false,0,0,0,0,0,0,6,325,200000,0
198,標準,,SC-450-標準-105-9,SC,450,70,105,60,0.0 ,0,40000 ,0,0,0,0,0,false,0,0,0,0,0,0,9,325,200000,0
199,標準,,SC-450-標準-105-12,SC,450,70,105,60,0.0 ,0,40000 ,0,0,0,0,0,false,0,0,0,0,0,0,12,325,200000,0
200,特厚,,SC-450-特厚-105-4.5,SC,450,85,105,60,0.0 ,0,40000 ,0,0,0,0,0,false,0,0,0,0,0,0,4.5,325,200000,0
201,特厚,,SC-450-特厚-105-6,SC,450,85,105,60,0.0 ,0,40000 ,0,0,0,0,0,false,0,0,0,0,0,0,6,325,200000,0
202,特厚,,SC-450-特厚-105-9,SC,450,85,105,60,0.0 ,0,40000 ,0,0,0,0,0,false,0,0,0,0,0,0,9,325,200000,0
203,特厚,,SC-450-特厚-105-12,SC,450,85,105,60,0.0 ,0,40000 ,0,0,0,0,0,false,0,0,0,0,0,0,12,325,200000,0
204,標準,,SC-500-標準-80-4.5,SC,500,80,80,44,0.0 ,0,40000 ,0,0,0,0,0,false,0,0,0,0,0,0,4.5,325,200000,0
205,標準,,SC-500-標準-80-6,SC,500,80,80,44,0.0 ,0,40000 ,0,0,0,0,0,false,0,0,0,0,0,0,6,325,200000,0
206,標準,,SC-500-標準-80-9,SC,500,80,80,44,0.0 ,0,40000 ,0,0,0,0,0,false,0,0,0,0,0,0,9,325,200000,0
207,標準,,SC-500-標準-80-12,SC,500,80,80,44,0.0 ,0,40000 ,0,0,0,0,0,false,0,0,0,0,0,0,12,325,200000,0
208,標準,,SC-500-標準-105-14,SC,500,80,105,60,0.0 ,0,40000 ,0,0,0,0,0,false,0,0,0,0,0,0,14,325,200000,0
209,標準,,SC-500-標準-105-16,SC,500,80,105,60,0.0 ,0,40000 ,0,0,0,0,0,false,0,0,0,0,0,0,16,325,200000,0
210,標準,,SC-500-標準-105-4.5,SC,500,80,105,60,0.0 ,0,40000 ,0,0,0,0,0,false,0,0,0,0,0,0,4.5,325,200000,0
211,標準,,SC-500-標準-105-6,SC,500,80,105,60,0.0 ,0,40000 ,0,0,0,0,0,false,0,0,0,0,0,0,6,325,200000,0
212,標準,,SC-500-標準-105-9,SC,500,80,105,60,0.0 ,0,40000 ,0,0,0,0,0,false,0,0,0,0,0,0,9,325,200000,0
213,標準,,SC-500-標準-105-12,SC,500,80,105,60,0.0 ,0,40000 ,0,0,0,0,0,false,0,0,0,0,0,0,12,325,200000,0
214,標準,,SC-500-標準-105-14,SC,500,80,105,60,0.0 ,0,40000 ,0,0,0,0,0,false,0,0,0,0,0,0,14,325,200000,0
215,標準,,SC-500-標準-105-16,SC,500,80,105,60,0.0 ,0,40000 ,0,0,0,0,0,false,0,0,0,0,0,0,16,325,200000,0
216,特厚,,SC-500-特厚-105-4.5,SC,500,100,105,60,0.0 ,0,40000 ,0,0,0,0,0,false,0,0,0,0,0,0,4.5,325,200000,0
217,特厚,,SC-500-特厚-105-6,SC,500,100,105,60,0.0 ,0,40000 ,0,0,0,0,0,false,0,0,0,0,0,0,6,325,200000,0
218,特厚,,SC-500-特厚-105-9,SC,500,100,105,60,0.0 ,0,40000 ,0,0,0,0,0,false,0,0,0,0,0,0,9,325,200000,0
219,特厚,,SC-500-特厚-105-12,SC,500,100,105,60,0.0 ,0,40000 ,0,0,0,0,0,false,0,0,0,0,0,0,12,325,200000,0
220,特厚,,SC-500-特厚-105-14,SC,500,100,105,60,0.0 ,0,40000 ,0,0,0,0,0,false,0,0,0,0,0,0,14,325,200000,0
221,特厚,,SC-500-特厚-105-16,SC,500,100,105,60,0.0 ,0,40000 ,0,0,0,0,0,false,0,0,0,0,0,0,16,325,200000,0
222,標準,,SC-600-標準-80-4.5,SC,600,90,80,44,0.0 ,0,40000 ,0,0,0,0,0,false,0,0,0,0,0,0,4.5,325,200000,0
223,標準,,SC-600-標準-80-6,SC,600,90,80,44,0.0 ,0,40000 ,0,0,0,0,0,false,0,0,0,0,0,0,6,325,200000,0
224,標準,,SC-600-標準-80-9,SC,600,90,80,44,0.0 ,0,40000 ,0,0,0,0,0,false,0,0,0,0,0,0,9,325,200000,0
225,標準,,SC-600-標準-80-12,SC,600,90,80,44,0.0 ,0,40000 ,0,0,0,0,0,false,0,0,0,0,0,0,12,325,200000,0
226,標準,,SC-600-標準-105-14,SC,600,90,105,60,0.0 ,0,40000 ,0,0,0,0,0,false,0,0,0,0,0,0,14,325,200000,0
227,標準,,SC-600-標準-105-16,SC,600,90,105,60,0.0 ,0,40000 ,0,0,0,0,0,false,0,0,0,0,0,0,16,325,200000,0
228,標準,,SC-600-標準-105-19,SC,600,90,105,60,0.0 ,0,40000 ,0,0,0,0,0,false,0,0,0,0,0,0,19,325,200000,0
229,標準,,SC-600-標準-105-4.5,SC,600,90,105,60,0.0 ,0,40000 ,0,0,0,0,0,false,0,0,0,0,0,0,4.5,325,200000,0
230,標準,,SC-600-標準-105-6,SC,600,90,105,60,0.0 ,0,40000 ,0,0,0,0,0,false,0,0,0,0,0,0,6,325,200000,0
231,標準,,SC-600-標準-105-9,SC,600,90,105,60,0.0 ,0,40000 ,0,0,0,0,0,false,0,0,0,0,0,0,9,325,200000,0
232,標準,,SC-600-標準-105-12,SC,600,90,105,60,0.0 ,0,40000 ,0,0,0,0,0,false,0,0,0,0,0,0,12,325,200000,0
233,標準,,SC-600-標準-105-14,SC,600,90,105,60,0.0 ,0,40000 ,0,0,0,0,0,false,0,0,0,0,0,0,14,325,200000,0
234,標準,,SC-600-標準-105-16,SC,600,90,105,60,0.0 ,0,40000 ,0,0,0,0,0,false,0,0,0,0,0,0,16,325,200000,0
235,標準,,SC-600-標準-105-19,SC,600,90,105,60,0.0 ,0,40000 ,0,0,0,0,0,false,0,0,0,0,0,0,19,325,200000,0
236,特厚,,SC-600-特厚-105-4.5,SC,600,110,105,60,0.0 ,0,40000 ,0,0,0,0,0,false,0,0,0,0,0,0,4.5,325,200000,0
237,特厚,,SC-600-特厚-105-6,SC,600,110,105,60,0.0 ,0,40000 ,0,0,0,0,0,false,0,0,0,0,0,0,6,325,200000,0
238,特厚,,SC-600-特厚-105-9,SC,600,110,105,60,0.0 ,0,40000 ,0,0,0,0,0,false,0,0,0,0,0,0,9,325,200000,0
